Parnamirim, Tamarineira, Rua Sebastião Alves, “Acesso por rua”, 2.0
Poço da Panela, Casa Amarela, Rua Professor Álvaro Lima, “Acesso por rua”, 2.0
Sítio dos Pintos, Dois Irmãos, Estrada dos Pintos, “Acesso por estrada”, 1.5
Tamarineira, Rosarinho, Rua José de Vasconcelos, “Acesso por rua”, 2.0
Tamarineira, Mangabeira, Avenida Professor José dos Anjos, “Acesso por avenida”, 4.0
Alto José Bonifácio, Linha do Tiro, Rua Frei Jorge, “Acesso por rua”, 2.0
Alto José Bonifácio, Alto José do Pinho, Rua Alto José Bonifácio, “Acesso por rua”, 2.0
Alto José Bonifácio, Morro da Conceição, Rua Córrego do Euclides, “Acesso por rua”, 2.0
Alto José Bonifácio, Vasco da Gama, Rua Maribondo, “Acesso por rua”, 2.0
Alto José Bonifácio, Brejo de Beberibe, Avenida Vereador Otacílio Azevedo, “Acesso por avenida”, 4.0
Alto José do Pinho, Mangabeira, Rua Avenca, “Acesso por rua”, 2.0
Alto José do Pinho, Morro da Conceição, Rua Descida da Macaíba, “Acesso por rua”, 2.0
Morro da Conceição, Vasco da Gama, Rua Córrego do Ouro, “Acesso por rua”, 2.0
Vasco da Gama, Nova Descoberta, Rua Vasco da Gama, “Acesso por rua”, 2.0
Vasco da Gama, Brejo de Beberibe, Rua Teolândia, “Acesso por rua”, 2.0
Vasco da Gama, Dois Unidos, Rua Tupiraçaba, “Acesso por rua”, 2.0
Brejo da Guabiraba, Nova Descoberta, Rua Alto do Reservatório, “Acesso por rua”, 2.0
Brejo da Guabiraba, Guabiraba, Avenida Emb. Assis de Chateaubriand, “Acesso por rua”, 2.0
Brejo da Guabiraba, Passarinho, Rua Arturio de Barros, “Acesso por rua”, 2.0
Brejo da Guabiraba, Brejo de Beberibe, Avenida Vereador Otacílio Azevedo, “Acesso por Avenida”, 4.0
Brejo de Beberibe, Dois Unidos, Rua Córrego do Curió, “Acesso por rua”, 2.0
Brejo de Beberibe, Nova Descoberta, Rua Alta do Refúgio, “Acesso por rua”, 2.0
Brejo de Beberibe, Linha do Tiro, Rua Isaltino Lobo, “Acesso por rua”, 2.0
Brejo de Beberibe, Passarinho, Rua Doutor Antônio da Rosa Borges, “Acesso por rua”, 2.0
Córrego do Jenipapo, Nova Descoberta, Rua Alto da Brasileira, “Acesso por Rua”, 2.0
Córrego do Jenipapo, Macaxeira, Rua Anita, “Acesso por Rua”, 2.0
Córrego do Jenipapo, Brejo da Guabiraba, Rua Mamori, “Acesso por Rua”, 2.0
Córrego do Jenipapo, Guabiraba, Rua Córrego da Loira, “Acesso por Rua”, 2.0
Guabiraba, Pau-Ferro, Estrada do Orfanato, “Acesso por Estrada” 1.5
Guabiraba, Passarinho, Estrada do Passarinho, “Acesso por Estrada”, 1.5
Macaxeira, Nova Descoberta, Rua São João Eudes, “Acesso por Rua”, 2.0
Macaxeira, Apipucos, Rua Dolores Salgado, “Acesso por Rua”, 2.0
Cordeiro, Iputinga, Rua Nossa Senhora da Saúde, “Acesso por Rua”, 2.0
Cordeiro, Zumbi, Rua Gregório Júnior, “Acesso por Rua”, 2.0
Cordeiro, Prado, Rua Gomes Taborda, “Acesso por Rua”, 2.0
Cordeiro, San Martin, Avenida General San Martin, “Acesso por Avenida”, 4.0
Cordeiro, Santana, Ponte Parque Santana - Emocy Krause, “Acesso por Ponte” 1.0
Cordeiro, Engenho do Meio, Rua Bom Pastor, “Acesso por Rua”, 2.0
Cordeiro, Torrões, Rua Antônio Valdevino Costa, “Acesso por Rua”, 2.0
Cordeiro, Torre, Rua Souza Bandeira, “Acesso por Rua”, 2.0
Ilha do Retiro, Madalena, Rua Comendador Bento Aguiar, “Acesso por Rua”, 2.0
Ilha do Retiro, Paissandu, Ponte Prefeito Lima Castro, “Acesso por Ponte”, 1.0
Ilha do Retiro, Prado, Rua Joao Ivo da Silva, “Acesso por Rua”, 2.0
Ilha do Retiro, Afogados, Avenida Vila Canal, “Acesso por Avenida”, 4.0
Iputinga, Várzea, Rua Emiliano Braga, “Acesso por Rua”, 2.0
Iputinga, Caxangá, Rua Min. João Alberto, “Acesso por Rua”, 2.0
Iputinga, Cidade Universitária, Rua General Vargas, “Acesso por Rua”, 2.0
Iputinga, Engenho do Meio, Avenida Mucio Uchoa Cavalcanti, “Acesso por Avenida”, 4.0
Iputinga, Monteiro, Ponte Engenheiro Jaime Gusmão, “Acesso por Ponte”, 1.0
Madalena, Torre, Rua Pio IX, “Acesso por Rua”, 2.0
Madalena, Prado, Rua Professor Lins e Silva, “Acesso por Rua”, 2.0
Madalena, Zumbi, Rua Visconde de Uruguai, “Acesso por Avenida”, 4.0
Prado, Afogados, Rua Santa Edwiges, “Acesso por Rua”, 2.0
Prado, Zumbi, Rua Caratinga, “Acesso por Rua”, 2.0
Torre, Parnamirim, Ponte-Viaduto Torre-Parnamirim, “Acesso por Ponte”, 2.0
Torre, Zumbi, Rua Conselheiro Theodoro, “Acesso por Rua”, 2.0
Torre, Graças, Ponte da Torre, “Acesso por Ponte”, 1.0
Torre, Santana, Rua Princesa Santana-Vila Santa Luzia, “Acesso por Rua”, 2.0
Engenho do Meio, Torrões, Rua Amaro Lopes Madeira, “Acesso por Rua”, 2.0
Engenho do Meio, Cidade Universitária, Rua Governador Lopes Garro, “Acesso por Rua”, 2.0
Engenho do Meio, Curado, Rua Antônio Curado, “Acesso por rua”, 2.0
Torrões, Iputinga, Rua Cel. Fernando Furtado, “Acesso por rua”, 2.0
Torrões, San Martin, Rua Cel. Mizael de Mendonça, “Acesso por rua”, 2.0
Torrões, Cordeiro, Rua Cláudio Brotherhood, “Acesso por rua”, 2.0
Torrões, Curado, Rua Zumbi dos Palmares, “Acesso por rua”, 2.0
Caxangá, Várzea, Avenida Joaquim Ribeiro, “Acesso por Avenida”, 4.0
Caxangá, Sítio dos Pintos, Rua Ribeiro Pessoa “Acesso por rua”, 2.0
Cidade Universitária, Várzea, Avenida Professor Artur de Sá, “Acesso por Avenida”, 4.0
Cidade Universitária, Curado, Rua Acdo. Hélio Ramos, “Acesso Por Rua”, 2.0
Afogados, Bongi, Estrada do Bongi, “Acesso por Estrada”, 1.5
Afogados, Mustardinha, Rua Apucarana, “Acesso por Rua”, 2.0
Afogados, Mangueira, Rua Vinte e Um de Abril, “Acesso por Rua”, 2.0
Afogados, Imbiribeira, Rua Arquiteto Luiz Nunes, “Acesso por rua”, 2.0
Bongi, Prado, Rua Carlos Gomes, “Acesso por Rua”, 2.0
Bongi, San Martin, Rua Itapemirim, “Acesso por Rua”, 2.0
Bongi, Mustardinha, Rua Pocrana, “Acesso por Rua”, 2.0
Mangueira, Mustardinha, Rua Frutuoso de Barros, “Acesso por Rua”, 2.0
Mangueira, San Martin, Rua José Bezerra Cavalcante, “Acesso por Rua”, 2.0
Mangueira, Jiquiá, Rua Bom Jardim, “Acesso por Rua”, 2.0
Mustardinha, San Martin, Rua Itaquari, “Acesso por Rua”, 2.0
San Martin, Jiquiá, Rua Santa Rosa, “Acesso por Rua”, 2.0
Areias, Caçote,  Avenida Capitão Gregório de Caldas, “Acesso por Avenida”, 4.0
Areias, Ipsep, Avenida Recife, “Acesso por Avenida”, 4.0
Areias, Barro, Rua Praça Fernando Galvão, “Acesso por Rua”, 2.0
Areias, Jiquiá, Avenida Tapajós, “Acesso por Avenida”, 4.0
Areias, Estância, Rua Tv da Rua Havaí, “Acesso por Rua”, 2.0
Areias, Jardim São Paulo, Rua José Natário, “Acesso por Rua”, 2.0
Jiquiá, Afogados, Rua São Miguel, “Acesso por Rua”, 2.0
Jiquiá, Estância, Avenida João Cabral de Melo Neto, “Acesso por Avenida”, 4.0
Barro, Tejipió, Rua Queira Deus, “Acesso por Rua”, 2.0
Barro, Jardim São Paulo, Avenida Central, “Acesso por Avenida”, 4.0
Barro, Ibura, Rua Pintor Agenor de Albuquerque César, “Acesso por Rua”, 2.0
Barro, Cohab, Avenida Doze de Junho, “Acesso por Avenida”, 4.0
Coqueiral, Tejipió, Rua Alcântara, “Acesso por Rua”, 2.0
Coqueiral, Totó, Rua Escada, “Acesso por Rua”, 2.0
Coqueiral, Sancho, Rua da Custódia, “Acesso por Rua”, 2.0
Curado, Várzea, Rua Doutor George William Butler, “Acesso por Rua”, 2.0
Curado, San Martin, Rua Paudalho, “Acesso por Rua”, 2.0
Curado, Jardim São Paulo, Rua Jundiaí, “Acesso por Rua”, 2.0
Curado, Tejipió, Estrada do Curado, “Acesso por Estrada”, 1.5
Curado, Totó, Rua Leão Treze, “Acesso por Rua”, 2.0
Jardim São Paulo, Estância, Rua Nossa Senhora de Fátima, “Acesso por Rua”, 2.0
Jardim São Paulo, Tejipió, Avenida Liberdade, “Acesso por Avenida”, 4.0
Jardim São Paulo, San Martin, Viaduto da CEASA, “Acesso por Viaduto”, 3.0
Jardim São Paulo, Jiquiá, Rua José Guimarães, “Acesso por Rua”, 2.0
Sancho, Curado, Avenida Tempo Feliz, “Acesso por Avenida”, 4.0
Sancho, Totó, Rua Paulino de Farias, “Acesso por Rua”, 2.0
Sancho, Tejipió, Rua Matoso da Câmara, “Acesso por Rua”, 2.0
Boa Viagem, Pina, Rua Amazonas, “Acesso por rua”, 2.0
Boa Viagem, Imbiribeira, Rua Antônio Falcão, “Acesso por rua”, 2.0
Boa Viagem, Jordão, Rua Remigio, “Acesso por rua”, 2.0
Brasilia Teimosa, Pina, Rua Francisco Valpassos, “Acesso por rua”, 2.0
Imbiribeira, Pina, Viaduto Dom João VI, “Acesso por viaduto, 3.0
Imbiribeira, Ipsep, Rua Pampulha, “Acesso por rua”, 2.0
Ipsep, Ibura, Rua São Nicolau, “Acesso por rua”, 2.0
Ibura, Jordão, Rua Camocim, “Acesso por rua”, 2.0
Ibura, Cohab, Avenida Dois Rios, “Acesso por Avenida”, 2.0
Jordão, Cohab, Avenida Min. Apolonio Sales, “Acesso por Avenida”, 2.0
